,Номер поручения,Выполнено,Затрачено дней,Сумма вознаграждения,Описание,lemm,group
162,11162,да,3.0,6000,"По дороге из деревни разбойники нападают на людей. Нужно проучить их. Будьте осторожны, так как разбойники могут быть опасными.","по дорога из деревня разбойник нападать на человек . нужный проучить они . быть осторожный , так как разбойник мочь быть опасный .",3
163,11163,да,5.0,16000,"В городе монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.","в город монстр похитить путник . нужный спасти они . осмотрите весь возможный укрытие , чтобы найти похитить .",2
164,11164,да,6.0,26500,Недалеко от города у меня был украден рюкзак. Нужно найти его как можно скорее.,недалеко от город у я быть украсть рюкзак . нужный найти он как можно скорый .,1
165,11165,да,9.0,12000,"Недалеко от города монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.","недалеко от город монстр похитить путник . нужный освободить они . осмотрите весь возможный укрытие , чтобы найти похитить .",2
166,11166,да,2.0,17500,По дороге из деревни у меня была украдена сумка с документами. Нужно вернуть её как можно скорее.,по дорога из деревня у я быть украсть сумка с документ . нужный вернуть она как можно скорый .,1
167,11167,да,5.0,6000,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,в пещера появвиться огромный каменный чудовище . нужный уничтожить он .,0
168,11168,да,7.0,13500,В пещере завёлся дракон. Нужно его убить.,в пещера завестись дракон . нужный он убить .,0
169,11169,да,7.0,7500,В деревне монстры похитили путников. Нужно спасти их.,в деревня монстр похитить путник . нужный спасти они .,2
170,11170,да,6.0,12000,"В городе у меня пропала драгоценность. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.","в город у я пропасть драгоценность . нужный вернуть она как можно скорый . проверить весь место , где она мочь быть оставить .",1
171,11171,да,8.0,12500,В лесу между городом и деревней были замечены разбойники. Нужно проучить их.,в лес между город и деревня быть заметить разбойник . нужный проучить они .,0
172,11172,да,6.0,9500,Недалеко от города у меня была украдена сумка с документами. Нужно найти её как можно скорее.,недалеко от город у я быть украсть сумка с документ . нужный найти она как можно скорый .,1
173,11173,да,4.0,7500,"По дороге из деревни встречаются звери. Нужно прогнать их. Будьте осторожны, так как звери могут быть опасными.","по дорога из деревня встречаться зверь . нужный прогнать они . быть осторожный , так как зверь мочь быть опасный .",3
174,11174,да,2.0,15000,"По дороге из деревни у меня потерялась драгоценность. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.","по дорога из деревня у я потеряться драгоценность . нужный вернуть она как можно скорый . проверить весь место , где она мочь быть оставить .",1
175,11175,да,9.0,9500,По дороге из деревни заметили разбойников. Нужно убить их.,по дорога из деревня заметить разбойник . нужный убить они .,0
176,11176,да,3.0,18000,Недалеко от города разбойники нападают на людей. Нужно убить их.,недалеко от город разбойник нападать на человек . нужный убить они .,0
177,11177,да,9.0,13500,"В городе у меня была украдена драгоценность. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.","в город у я быть украсть драгоценность . нужный вернуть она как можно скорый . проверить весь место , где она мочь быть оставить .",1
178,11178,да,3.0,21000,В деревне у меня был украден рюкзак. Нужно найти его как можно скорее.,в деревня у я быть украсть рюкзак . нужный найти он как можно скорый .,1
179,11179,да,5.0,26000,В пещере появвилось огромное каменное чудовище. Нужно убить его.,в пещера появвиться огромный каменный чудовище . нужный убить он .,0
180,11180,да,10.0,5500,В деревне у меня пропал рюкзак. Нужно найти его как можно скорее.,в деревня у я пропасть рюкзак . нужный найти он как можно скорый .,1
181,11181,да,3.0,29000,Недалеко от города у меня пропала драгоценность. Нужно вернуть её как можно скорее.,недалеко от город у я пропасть драгоценность . нужный вернуть она как можно скорый .,1
182,11182,да,5.0,13500,"В городе у меня пропала драгоценность. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.","в город у я пропасть драгоценность . нужный вернуть она как можно скорый . проверить весь место , где она мочь быть оставить .",1
183,11183,да,6.0,11000,"В лесу около деревни были замечены разбойники. Нужно проучить их. Будьте осторожны, так как разбойники могут быть опасными.","в лес около деревня быть заметить разбойник . нужный проучить они . быть осторожный , так как разбойник мочь быть опасный .",3
184,11184,да,2.0,15000,"В пещере появвилось огромное каменное чудовище. Нужно убить его. Это может потребовать времени и усилий, так как огромное каменное чудовище очень опасен.","в пещера появвиться огромный каменный чудовище . нужный убить он . это мочь потребовать время и усилие , так как огромный каменный чудовище очень опасный .",3
185,11185,да,1.0,23000,В лесу между городом и деревней монстры нападают на людей. Нужно уничтожить их.,в лес между город и деревня монстр нападать на человек . нужный уничтожить они .,0
186,11186,да,1.0,10500,В пещере завёлся дракон. Нужно его уничтожить.,в пещера завестись дракон . нужный он уничтожить .,0
187,11187,да,7.0,15000,Недалеко от города у меня был украден рюкзак. Нужно вернуть его как можно скорее.,недалеко от город у я быть украсть рюкзак . нужный вернуть он как можно скорый .,1
188,11188,да,9.0,13000,"В лесу недалеко от города заметили разбойников. Нужно убить их. Осмотрите все возможные укрытия, чтобы найти разбойников.","в лес недалеко от город заметить разбойник . нужный убить они . осмотрите весь возможный укрытие , чтобы найти разбойник .",4
189,11189,да,8.0,24500,Недалеко от города заметили разбойников. Нужно прогнать их.,недалеко от город заметить разбойник . нужный прогнать они .,0
190,11190,да,1.0,25500,"В лесу между городом и деревней были замечены разбойники. Нужно прогнать их. Будьте осторожны, так как разбойники могут быть опасными.","в лес между город и деревня быть заметить разбойник . нужный прогнать они . быть осторожный , так как разбойник мочь быть опасный .",3
191,11191,да,3.0,16000,"В городе у меня пропал рюкзак. Нужно вернуть его как можно скорее. Проверьте все места, где он мог быть оставлен.","в город у я пропасть рюкзак . нужный вернуть он как можно скорый . проверить весь место , где он мочь быть оставить .",1
192,11192,да,6.0,7000,Недалеко от города заметили монстров. Нужно победить их.,недалеко от город заметить монстр . нужный победить они .,0
193,11193,да,3.0,21500,"В лесу недалеко от города видели монстров. Нужно уничтожить их. Осмотрите все возможные укрытия, чтобы найти монстров.","в лес недалеко от город видеть монстр . нужный уничтожить они . осмотрите весь возможный укрытие , чтобы найти монстр .",4
194,11194,да,8.0,8500,В лесу по дороге от пещеры заметили разбойников. Нужно убить их.,в лес по дорога от пещера заметить разбойник . нужный убить они .,0
195,11195,да,7.0,15000,В лесу между городом и деревней звери нападают на людей. Нужно прогнать их.,в лес между город и деревня зверь нападать на человек . нужный прогнать они .,0
196,11196,да,3.0,17000,"Недалеко от города монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.","недалеко от город монстр похитить путник . нужный спасти они . осмотрите весь возможный укрытие , чтобы найти похитить .",2
197,11197,да,7.0,20500,В пещере завёлся дракон. Нужно его уничтожить.,в пещера завестись дракон . нужный он уничтожить .,0
198,11198,да,3.0,28500,"В лесу недалеко от города заметили разбойников. Нужно прогнать их. Осмотрите все возможные укрытия, чтобы найти разбойников.","в лес недалеко от город заметить разбойник . нужный прогнать они . осмотрите весь возможный укрытие , чтобы найти разбойник .",4
199,11199,да,6.0,7000,В лесу около деревни заметили разбойников. Нужно убить их.,в лес около деревня заметить разбойник . нужный убить они .,0
200,11200,да,10.0,17000,В лесу между городом и деревней видели монстров. Нужно уничтожить их.,в лес между город и деревня видеть монстр . нужный уничтожить они .,0
201,11201,да,10.0,29000,В лесу около деревни были замечены разбойники. Нужно проучить их.,в лес около деревня быть заметить разбойник . нужный проучить они .,0
202,11202,да,2.0,5000,"В лесу по дороге от пещеры заметили монстров. Нужно победить их. Осмотрите все возможные укрытия, чтобы найти монстров.","в лес по дорога от пещера заметить монстр . нужный победить они . осмотрите весь возможный укрытие , чтобы найти монстр .",4
203,11203,да,5.0,11500,"По дороге из деревни монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.","по дорога из деревня монстр похитить путник . нужный спасти они . осмотрите весь возможный укрытие , чтобы найти похитить .",2
204,11204,да,5.0,5500,Недалеко от города у меня потерялась сумка с документами. Нужно найти её как можно скорее.,недалеко от город у я потеряться сумка с документ . нужный найти она как можно скорый .,1
205,11205,да,10.0,25000,В лесу около деревни встречаются звери. Нужно убить их.,в лес около деревня встречаться зверь . нужный убить они .,0
206,11206,да,1.0,9500,В городе у меня была украдена драгоценность. Нужно найти её как можно скорее.,в город у я быть украсть драгоценность . нужный найти она как можно скорый .,1
207,11207,да,7.0,17500,"В лесу по дороге от пещеры встречаются звери. Нужно прогнать их. Будьте осторожны, так как звери могут быть опасными.","в лес по дорога от пещера встречаться зверь . нужный прогнать они . быть осторожный , так как зверь мочь быть опасный .",3
208,11208,да,8.0,9500,"В деревне монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.","в деревня монстр похитить путник . нужный освободить они . осмотрите весь возможный укрытие , чтобы найти похитить .",2
209,11209,да,2.0,21000,Недалеко от города заметили зверей. Нужно убить их.,недалеко от город заметить зверь . нужный убить они .,0
210,11210,да,3.0,5500,В лесу недалеко от города заметили разбойников. Нужно убить их.,в лес недалеко от город заметить разбойник . нужный убить они .,0
211,11211,да,8.0,22000,"В пещере завёлся дракон. Нужно его уничтожить. Это может потребовать времени и усилий, так как дракон очень опасен.","в пещера завестись дракон . нужный он уничтожить . это мочь потребовать время и усилие , так как дракон очень опасный .",3
212,11212,да,3.0,20500,По дороге из деревни у меня пропала драгоценность. Нужно найти её как можно скорее.,по дорога из деревня у я пропасть драгоценность . нужный найти она как можно скорый .,1
213,11213,да,8.0,15000,В пещере появвилось огромное каменное чудовище. Нужно убить его.,в пещера появвиться огромный каменный чудовище . нужный убить он .,0
214,11214,да,3.0,17000,"По дороге из деревни у меня пропала сумка с документами. Нужно найти её как можно скорее. Проверьте все места, где она могла быть оставлена.","по дорога из деревня у я пропасть сумка с документ . нужный найти она как можно скорый . проверить весь место , где она мочь быть оставить .",1
215,11215,да,9.0,29000,"В деревне у меня была украдена сумка с документами. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.","в деревня у я быть украсть сумка с документ . нужный вернуть она как можно скорый . проверить весь место , где она мочь быть оставить .",1
216,11216,да,2.0,28000,"Недалеко от города у меня пропала драгоценность. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.","недалеко от город у я пропасть драгоценность . нужный вернуть она как можно скорый . проверить весь место , где она мочь быть оставить .",1
217,11217,да,5.0,7500,"По дороге из деревни у меня была украдена драгоценность. Нужно найти её как можно скорее. Проверьте все места, где она могла быть оставлена.","по дорога из деревня у я быть украсть драгоценность . нужный найти она как можно скорый . проверить весь место , где она мочь быть оставить .",1
218,11218,нет,,16000,"Недалеко от города монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.","недалеко от город монстр похитить путник . нужный спасти они . осмотрите весь возможный укрытие , чтобы найти похитить .",2
219,11219,да,10.0,19500,"Недалеко от города монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.","недалеко от город монстр похитить путник . нужный освободить они . осмотрите весь возможный укрытие , чтобы найти похитить .",2
220,11220,да,1.0,28000,В лесу недалеко от города встречаются звери. Нужно убить их.,в лес недалеко от город встречаться зверь . нужный убить они .,0
221,11221,да,1.0,11500,"Недалеко от города у меня потерялась сумка с документами. Нужно найти её как можно скорее. Проверьте все места, где она могла быть оставлена.","недалеко от город у я потеряться сумка с документ . нужный найти она как можно скорый . проверить весь место , где она мочь быть оставить .",1
222,11222,да,9.0,25500,В деревне у меня пропал рюкзак. Нужно вернуть его как можно скорее.,в деревня у я пропасть рюкзак . нужный вернуть он как можно скорый .,1
223,11223,да,2.0,6500,В лесу по дороге от пещеры видели монстров. Нужно победить их.,в лес по дорога от пещера видеть монстр . нужный победить они .,0
224,11224,да,5.0,12500,Недалеко от города у меня пропал рюкзак. Нужно найти его как можно скорее.,недалеко от город у я пропасть рюкзак . нужный найти он как можно скорый .,1
225,11225,да,9.0,29500,В пещере завёлся дракон. Нужно его уничтожить.,в пещера завестись дракон . нужный он уничтожить .,0
226,11226,да,5.0,16500,"В лесу около деревни видели монстров. Нужно уничтожить их. Осмотрите все возможные укрытия, чтобы найти монстров.","в лес около деревня видеть монстр . нужный уничтожить они . осмотрите весь возможный укрытие , чтобы найти монстр .",4
227,11227,да,1.0,14500,В лесу около деревни заметили зверей. Нужно убить их.,в лес около деревня заметить зверь . нужный убить они .,0
228,11228,да,4.0,14000,"Недалеко от города у меня пропала драгоценность. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.","недалеко от город у я пропасть драгоценность . нужный вернуть она как можно скорый . проверить весь место , где она мочь быть оставить .",1
229,11229,да,4.0,11500,"Недалеко от города разбойники нападают на людей. Нужно убить их. Будьте осторожны, так как разбойники могут быть опасными.","недалеко от город разбойник нападать на человек . нужный убить они . быть осторожный , так как разбойник мочь быть опасный .",3
230,11230,да,7.0,10500,В городе у меня пропала драгоценность. Нужно найти её как можно скорее.,в город у я пропасть драгоценность . нужный найти она как можно скорый .,1
231,11231,да,3.0,22500,Недалеко от города заметили зверей. Нужно прогнать их.,недалеко от город заметить зверь . нужный прогнать они .,0
232,11232,нет,,17500,В деревне монстры похитили путников. Нужно спасти их.,в деревня монстр похитить путник . нужный спасти они .,2
233,11233,да,7.0,24000,По дороге из деревни у меня пропал рюкзак. Нужно найти его как можно скорее.,по дорога из деревня у я пропасть рюкзак . нужный найти он как можно скорый .,1
234,11234,нет,,17000,В лесу по дороге от пещеры заметили разбойников. Нужно прогнать их.,в лес по дорога от пещера заметить разбойник . нужный прогнать они .,0
235,11235,да,5.0,13500,В городе у меня потерялся рюкзак. Нужно вернуть его как можно скорее.,в город у я потеряться рюкзак . нужный вернуть он как можно скорый .,1
236,11236,да,9.0,26000,В лесу по дороге от пещеры заметили разбойников. Нужно проучить их.,в лес по дорога от пещера заметить разбойник . нужный проучить они .,0
237,11237,да,2.0,23000,В лесу недалеко от города звери нападают на людей. Нужно убить их.,в лес недалеко от город зверь нападать на человек . нужный убить они .,0
238,11238,да,2.0,21000,В лесу по дороге от пещеры разбойники нападают на людей. Нужно прогнать их.,в лес по дорога от пещера разбойник нападать на человек . нужный прогнать они .,0
239,11239,да,1.0,9500,"В лесу по дороге от пещеры звери нападают на людей. Нужно убить их. Осмотрите все возможные укрытия, чтобы найти зверей.","в лес по дорога от пещера зверь нападать на человек . нужный убить они . осмотрите весь возможный укрытие , чтобы найти зверь .",4
240,11240,да,7.0,15000,"В лесу между городом и деревней разбойники нападают на людей. Нужно убить их. Осмотрите все возможные укрытия, чтобы найти разбойников.","в лес между город и деревня разбойник нападать на человек . нужный убить они . осмотрите весь возможный укрытие , чтобы найти разбойник .",4
241,11241,да,4.0,15500,"В городе монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.","в город монстр похитить путник . нужный спасти они . осмотрите весь возможный укрытие , чтобы найти похитить .",2
242,11242,да,5.0,23000,"Недалеко от города у меня пропала сумка с документами. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.","недалеко от город у я пропасть сумка с документ . нужный вернуть она как можно скорый . проверить весь место , где она мочь быть оставить .",1
243,11243,да,7.0,8000,В деревне у меня потерялся рюкзак. Нужно вернуть его как можно скорее.,в деревня у я потеряться рюкзак . нужный вернуть он как можно скорый .,1
244,11244,да,2.0,29000,В пещере завёлся дракон. Нужно его убить.,в пещера завестись дракон . нужный он убить .,0
245,11245,да,2.0,5500,В городе у меня потерялся рюкзак. Нужно найти его как можно скорее.,в город у я потеряться рюкзак . нужный найти он как можно скорый .,1
246,11246,да,6.0,8500,В пещере завёлся дракон. Нужно его убить.,в пещера завестись дракон . нужный он убить .,0
247,11247,да,6.0,18500,"В деревне монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.","в деревня монстр похитить путник . нужный освободить они . осмотрите весь возможный укрытие , чтобы найти похитить .",2
248,11248,да,2.0,23000,"В деревне монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.","в деревня монстр похитить путник . нужный освободить они . осмотрите весь возможный укрытие , чтобы найти похитить .",2
249,11249,да,1.0,14000,В деревне монстры похитили путников. Нужно спасти их.,в деревня монстр похитить путник . нужный спасти они .,2
250,11250,да,9.0,22000,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,в пещера появвиться огромный каменный чудовище . нужный уничтожить он .,0
251,11251,да,3.0,23500,"По дороге из деревни встречаются звери. Нужно убить их. Будьте осторожны, так как звери могут быть опасными.","по дорога из деревня встречаться зверь . нужный убить они . быть осторожный , так как зверь мочь быть опасный .",3
252,11252,да,3.0,25000,"По дороге из деревни монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.","по дорога из деревня монстр похитить путник . нужный спасти они . осмотрите весь возможный укрытие , чтобы найти похитить .",2
253,11253,да,1.0,9000,"Недалеко от города заметили зверей. Нужно убить их. Будьте осторожны, так как звери могут быть опасными.","недалеко от город заметить зверь . нужный убить они . быть осторожный , так как зверь мочь быть опасный .",3
254,11254,да,9.0,24500,Недалеко от города звери нападают на людей. Нужно прогнать их.,недалеко от город зверь нападать на человек . нужный прогнать они .,0
255,11255,да,7.0,9500,В пещере появвилось огромное каменное чудовище. Нужно убить его.,в пещера появвиться огромный каменный чудовище . нужный убить он .,0
256,11256,да,10.0,21500,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,в пещера появвиться огромный каменный чудовище . нужный уничтожить он .,0
257,11257,да,1.0,25500,В лесу по дороге от пещеры заметили монстров. Нужно победить их.,в лес по дорога от пещера заметить монстр . нужный победить они .,0
258,11258,да,9.0,18500,В лесу между городом и деревней заметили разбойников. Нужно убить их.,в лес между город и деревня заметить разбойник . нужный убить они .,0
259,11259,да,2.0,15000,В пещере появвилось огромное каменное чудовище. Нужно убить его.,в пещера появвиться огромный каменный чудовище . нужный убить он .,0
260,11260,да,7.0,25500,"В деревне монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.","в деревня монстр похитить путник . нужный спасти они . осмотрите весь возможный укрытие , чтобы найти похитить .",2
261,11261,да,7.0,17000,"Недалеко от города у меня пропала сумка с документами. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.","недалеко от город у я пропасть сумка с документ . нужный вернуть она как можно скорый . проверить весь место , где она мочь быть оставить .",1
262,11262,да,10.0,10000,Недалеко от города встречаются звери. Нужно убить их.,недалеко от город встречаться зверь . нужный убить они .,0
263,11263,да,1.0,5000,В лесу недалеко от города были замечены разбойники. Нужно убить их.,в лес недалеко от город быть заметить разбойник . нужный убить они .,0
264,11264,да,4.0,29500,"В лесу между городом и деревней заметили монстров. Нужно уничтожить их. Будьте осторожны, так как монстры могут быть опасными.","в лес между город и деревня заметить монстр . нужный уничтожить они . быть осторожный , так как монстр мочь быть опасный .",3
265,11265,да,1.0,11500,В пещере появвилось огромное каменное чудовище. Нужно убить его.,в пещера появвиться огромный каменный чудовище . нужный убить он .,0
266,11266,да,9.0,6500,По дороге из деревни у меня был украден рюкзак. Нужно вернуть его как можно скорее.,по дорога из деревня у я быть украсть рюкзак . нужный вернуть он как можно скорый .,1
267,11267,да,1.0,25500,По дороге из деревни монстры нападают на людей. Нужно уничтожить их.,по дорога из деревня монстр нападать на человек . нужный уничтожить они .,0
268,11268,да,6.0,6000,В лесу недалеко от города разбойники нападают на людей. Нужно проучить их.,в лес недалеко от город разбойник нападать на человек . нужный проучить они .,0
269,11269,да,5.0,6000,"В деревне у меня потерялась сумка с документами. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.","в деревня у я потеряться сумка с документ . нужный вернуть она как можно скорый . проверить весь место , где она мочь быть оставить .",1
270,11270,да,2.0,20000,"В пещере завёлся дракон. Нужно его уничтожить. Это может потребовать времени и усилий, так как дракон очень опасен.","в пещера завестись дракон . нужный он уничтожить . это мочь потребовать время и усилие , так как дракон очень опасный .",3
271,11271,да,8.0,12500,Недалеко от города видели монстров. Нужно победить их.,недалеко от город видеть монстр . нужный победить они .,0
272,11272,да,7.0,5500,В пещере завёлся дракон. Нужно его убить.,в пещера завестись дракон . нужный он убить .,0
273,11273,да,6.0,8000,По дороге из деревни у меня пропал рюкзак. Нужно найти его как можно скорее.,по дорога из деревня у я пропасть рюкзак . нужный найти он как можно скорый .,1
274,11274,да,8.0,16000,"В городе монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.","в город монстр похитить путник . нужный освободить они . осмотрите весь возможный укрытие , чтобы найти похитить .",2
275,11275,да,7.0,22500,В пещере появвилось огромное каменное чудовище. Нужно убить его.,в пещера появвиться огромный каменный чудовище . нужный убить он .,0
276,11276,да,4.0,13500,В деревне монстры похитили путников. Нужно освободить их.,в деревня монстр похитить путник . нужный освободить они .,2
277,11277,да,10.0,5500,В пещере завёлся дракон. Нужно его убить.,в пещера завестись дракон . нужный он убить .,0
278,11278,да,4.0,29500,В деревне у меня пропала сумка с документами. Нужно вернуть её как можно скорее.,в деревня у я пропасть сумка с документ . нужный вернуть она как можно скорый .,1
279,11279,да,10.0,24500,В пещере появвилось огромное каменное чудовище. Нужно убить его.,в пещера появвиться огромный каменный чудовище . нужный убить он .,0
280,11280,да,1.0,24500,В лесу по дороге от пещеры монстры нападают на людей. Нужно уничтожить их.,в лес по дорога от пещера монстр нападать на человек . нужный уничтожить они .,0
281,11281,да,6.0,25500,"В городе монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.","в город монстр похитить путник . нужный спасти они . осмотрите весь возможный укрытие , чтобы найти похитить .",2
282,11282,да,2.0,10500,В городе у меня потерялась сумка с документами. Нужно вернуть её как можно скорее.,в город у я потеряться сумка с документ . нужный вернуть она как можно скорый .,1
283,11283,да,5.0,6500,"В пещере появвилось огромное каменное чудовище. Нужно уничтожить его. Это может потребовать времени и усилий, так как огромное каменное чудовище очень опасен.","в пещера появвиться огромный каменный чудовище . нужный уничтожить он . это мочь потребовать время и усилие , так как огромный каменный чудовище очень опасный .",3
284,11284,да,2.0,10500,"В деревне у меня был украден рюкзак. Нужно найти его как можно скорее. Проверьте все места, где он мог быть оставлен.","в деревня у я быть украсть рюкзак . нужный найти он как можно скорый . проверить весь место , где он мочь быть оставить .",1
285,11285,нет,,5000,В городе у меня потерялся рюкзак. Нужно найти его как можно скорее.,в город у я потеряться рюкзак . нужный найти он как можно скорый .,1
286,11286,да,8.0,26000,"В городе у меня пропала драгоценность. Нужно найти её как можно скорее. Проверьте все места, где она могла быть оставлена.","в город у я пропасть драгоценность . нужный найти она как можно скорый . проверить весь место , где она мочь быть оставить .",1
287,11287,да,2.0,15000,По дороге из деревни монстры похитили путников. Нужно освободить их.,по дорога из деревня монстр похитить путник . нужный освободить они .,2
288,11288,да,3.0,10000,"В городе монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.","в город монстр похитить путник . нужный освободить они . осмотрите весь возможный укрытие , чтобы найти похитить .",2
289,11289,да,1.0,14000,"Недалеко от города монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.","недалеко от город монстр похитить путник . нужный освободить они . осмотрите весь возможный укрытие , чтобы найти похитить .",2
290,11290,да,1.0,29000,В городе у меня была украдена драгоценность. Нужно найти её как можно скорее.,в город у я быть украсть драгоценность . нужный найти она как можно скорый .,1
291,11291,да,3.0,15000,По дороге из деревни у меня потерялась драгоценность. Нужно найти её как можно скорее.,по дорога из деревня у я потеряться драгоценность . нужный найти она как можно скорый .,1
292,11292,да,7.0,19000,В деревне у меня пропала драгоценность. Нужно вернуть её как можно скорее.,в деревня у я пропасть драгоценность . нужный вернуть она как можно скорый .,1
293,11293,да,5.0,15000,Недалеко от города звери нападают на людей. Нужно убить их.,недалеко от город зверь нападать на человек . нужный убить они .,0
294,11294,да,7.0,28500,"В лесу недалеко от города были замечены разбойники. Нужно проучить их. Осмотрите все возможные укрытия, чтобы найти разбойников.","в лес недалеко от город быть заметить разбойник . нужный проучить они . осмотрите весь возможный укрытие , чтобы найти разбойник .",4
295,11295,да,7.0,15500,В пещере завёлся дракон. Нужно его уничтожить.,в пещера завестись дракон . нужный он уничтожить .,0
296,11296,да,4.0,20500,По дороге из деревни заметили разбойников. Нужно проучить их.,по дорога из деревня заметить разбойник . нужный проучить они .,0
297,11297,да,6.0,14500,"В деревне у меня пропала сумка с документами. Нужно найти её как можно скорее. Проверьте все места, где она могла быть оставлена.","в деревня у я пропасть сумка с документ . нужный найти она как можно скорый . проверить весь место , где она мочь быть оставить .",1
298,11298,да,3.0,5500,В деревне монстры похитили путников. Нужно освободить их.,в деревня монстр похитить путник . нужный освободить они .,2
299,11299,да,4.0,17000,Недалеко от города у меня потерялся рюкзак. Нужно вернуть его как можно скорее.,недалеко от город у я потеряться рюкзак . нужный вернуть он как можно скорый .,1
300,11300,да,1.0,11000,В лесу между городом и деревней видели монстров. Нужно победить их.,в лес между город и деревня видеть монстр . нужный победить они .,0
301,11301,да,5.0,16000,В пещере завёлся дракон. Нужно его убить.,в пещера завестись дракон . нужный он убить .,0
302,11302,да,7.0,5000,В лесу между городом и деревней заметили разбойников. Нужно прогнать их.,в лес между город и деревня заметить разбойник . нужный прогнать они .,0
303,11303,да,5.0,9000,В пещере завёлся дракон. Нужно его уничтожить.,в пещера завестись дракон . нужный он уничтожить .,0
304,11304,да,6.0,22000,В лесу между городом и деревней заметили разбойников. Нужно проучить их.,в лес между город и деревня заметить разбойник . нужный проучить они .,0
305,11305,да,4.0,9500,По дороге из деревни разбойники нападают на людей. Нужно прогнать их.,по дорога из деревня разбойник нападать на человек . нужный прогнать они .,0
306,11306,нет,,17000,"В деревне монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.","в деревня монстр похитить путник . нужный спасти они . осмотрите весь возможный укрытие , чтобы найти похитить .",2
307,11307,да,8.0,10500,"Недалеко от города монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.","недалеко от город монстр похитить путник . нужный спасти они . осмотрите весь возможный укрытие , чтобы найти похитить .",2
308,11308,да,6.0,29500,В деревне у меня пропал рюкзак. Нужно вернуть его как можно скорее.,в деревня у я пропасть рюкзак . нужный вернуть он как можно скорый .,1
309,11309,да,5.0,26000,В городе у меня потерялась сумка с документами. Нужно вернуть её как можно скорее.,в город у я потеряться сумка с документ . нужный вернуть она как можно скорый .,1
310,11310,нет,,5000,"По дороге из деревни монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.","по дорога из деревня монстр похитить путник . нужный спасти они . осмотрите весь возможный укрытие , чтобы найти похитить .",2
311,11311,нет,,19000,По дороге из деревни у меня была украдена драгоценность. Нужно вернуть её как можно скорее.,по дорога из деревня у я быть украсть драгоценность . нужный вернуть она как можно скорый .,1
312,11312,да,8.0,8000,В пещере завёлся дракон. Нужно его уничтожить.,в пещера завестись дракон . нужный он уничтожить .,0
313,11313,да,10.0,12000,"В лесу по дороге от пещеры заметили зверей. Нужно убить их. Будьте осторожны, так как звери могут быть опасными.","в лес по дорога от пещера заметить зверь . нужный убить они . быть осторожный , так как зверь мочь быть опасный .",3
314,11314,да,8.0,13000,Недалеко от города у меня пропала драгоценность. Нужно вернуть её как можно скорее.,недалеко от город у я пропасть драгоценность . нужный вернуть она как можно скорый .,1
315,11315,да,6.0,7500,В деревне у меня была украдена драгоценность. Нужно найти её как можно скорее.,в деревня у я быть украсть драгоценность . нужный найти она как можно скорый .,1
316,11316,да,8.0,18500,"Недалеко от города у меня потерялась драгоценность. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.","недалеко от город у я потеряться драгоценность . нужный вернуть она как можно скорый . проверить весь место , где она мочь быть оставить .",1
