,Номер поручения,Выполнено,Затрачено дней,Сумма вознаграждения,Описание,lemm,group,Герой,Оценка за качество,Оценка по срокам,Оценка за вежливость
130,11130,да,1.0,16000,"Недалеко от города монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.","недалеко от город монстр похитить путник . нужный спасти они . осмотрите весь возможный укрытие , чтобы найти похитить .",2,Альфред,4,4,3
131,11131,да,6.0,19000,В пещере завёлся дракон. Нужно его убить.,в пещера завестись дракон . нужный он убить .,0,Фредерик,4,3,4
132,11132,да,5.0,20000,В лесу по дороге от пещеры встречаются звери. Нужно прогнать их.,в лес по дорога от пещера встречаться зверь . нужный прогнать они .,0,Юлия,3,5,4
133,11133,да,10.0,20500,В пещере появвилось огромное каменное чудовище. Нужно убить его.,в пещера появвиться огромный каменный чудовище . нужный убить он .,0,Фредерик,3,4,4
134,11134,нет,,27500,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,в пещера появвиться огромный каменный чудовище . нужный уничтожить он .,0,Пастушок,5,4,4
135,11135,да,7.0,25500,"В пещере завёлся дракон. Нужно его убить. Это может потребовать времени и усилий, так как дракон очень опасен.","в пещера завестись дракон . нужный он убить . это мочь потребовать время и усилие , так как дракон очень опасный .",3,Альфред,3,3,4
136,11136,да,4.0,19500,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,в пещера появвиться огромный каменный чудовище . нужный уничтожить он .,0,Бенедикт,4,4,4
137,11137,да,9.0,16000,В лесу недалеко от города встречаются звери. Нужно убить их.,в лес недалеко от город встречаться зверь . нужный убить они .,0,Пастушок,3,3,3
138,11138,да,5.0,15500,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,в пещера появвиться огромный каменный чудовище . нужный уничтожить он .,0,Бенедикт,4,3,4
139,11139,да,8.0,5000,"В городе у меня была украдена сумка с документами. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.","в город у я быть украсть сумка с документ . нужный вернуть она как можно скорый . проверить весь место , где она мочь быть оставить .",1,Соня,4,4,4
140,11140,да,4.0,25500,В лесу по дороге от пещеры были замечены разбойники. Нужно убить их.,в лес по дорога от пещера быть заметить разбойник . нужный убить они .,0,Соня,4,3,5
141,11141,да,1.0,18000,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,в пещера появвиться огромный каменный чудовище . нужный уничтожить он .,0,Альфред,3,3,4
142,11142,да,4.0,11000,"Недалеко от города монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.","недалеко от город монстр похитить путник . нужный освободить они . осмотрите весь возможный укрытие , чтобы найти похитить .",2,Пастушок,4,4,3
143,11143,нет,,10500,"В пещере завёлся дракон. Нужно его убить. Это может потребовать времени и усилий, так как дракон очень опасен.","в пещера завестись дракон . нужный он убить . это мочь потребовать время и усилие , так как дракон очень опасный .",3,Юлия,5,4,5
144,11144,да,2.0,14500,"В пещере завёлся дракон. Нужно его уничтожить. Это может потребовать времени и усилий, так как дракон очень опасен.","в пещера завестись дракон . нужный он уничтожить . это мочь потребовать время и усилие , так как дракон очень опасный .",3,Юлия,3,2,3
145,11145,да,1.0,10000,Недалеко от города у меня потерялась драгоценность. Нужно найти её как можно скорее.,недалеко от город у я потеряться драгоценность . нужный найти она как можно скорый .,1,Бендер,4,5,3
146,11146,да,5.0,28000,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,в пещера появвиться огромный каменный чудовище . нужный уничтожить он .,0,Соня,2,5,4
147,11147,да,8.0,20000,Недалеко от города у меня пропала сумка с документами. Нужно вернуть её как можно скорее.,недалеко от город у я пропасть сумка с документ . нужный вернуть она как можно скорый .,1,Агата,4,4,3
148,11148,да,7.0,22000,По дороге из деревни у меня была украдена драгоценность. Нужно найти её как можно скорее.,по дорога из деревня у я быть украсть драгоценность . нужный найти она как можно скорый .,1,Бендер,4,3,4
149,11149,да,4.0,15500,По дороге из деревни монстры похитили путников. Нужно освободить их.,по дорога из деревня монстр похитить путник . нужный освободить они .,2,Агата,4,3,2
150,11150,да,3.0,11500,По дороге из деревни у меня потерялась сумка с документами. Нужно найти её как можно скорее.,по дорога из деревня у я потеряться сумка с документ . нужный найти она как можно скорый .,1,Фредерик,2,5,3
151,11151,да,4.0,10500,В пещере завёлся дракон. Нужно его убить.,в пещера завестись дракон . нужный он убить .,0,Бенедикт,3,5,4
152,11152,да,1.0,7000,В пещере появвилось огромное каменное чудовище. Нужно убить его.,в пещера появвиться огромный каменный чудовище . нужный убить он .,0,Пастушок,4,5,3
153,11153,да,4.0,17000,В пещере появвилось огромное каменное чудовище. Нужно убить его.,в пещера появвиться огромный каменный чудовище . нужный убить он .,0,Юлия,4,3,5
154,11154,да,10.0,14000,В городе у меня пропал рюкзак. Нужно вернуть его как можно скорее.,в город у я пропасть рюкзак . нужный вернуть он как можно скорый .,1,Леопольд,3,3,4
155,11155,да,4.0,13500,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,в пещера появвиться огромный каменный чудовище . нужный уничтожить он .,0,Бендер,4,4,5
156,11156,да,5.0,16500,"В пещере завёлся дракон. Нужно его уничтожить. Это может потребовать времени и усилий, так как дракон очень опасен.","в пещера завестись дракон . нужный он уничтожить . это мочь потребовать время и усилие , так как дракон очень опасный .",3,Глюкоза,4,4,4
157,11157,да,2.0,23500,В деревне у меня пропала драгоценность. Нужно найти её как можно скорее.,в деревня у я пропасть драгоценность . нужный найти она как можно скорый .,1,Соня,3,5,4
158,11158,да,3.0,28000,Недалеко от города заметили монстров. Нужно уничтожить их.,недалеко от город заметить монстр . нужный уничтожить они .,0,Соня,4,3,4
159,11159,да,3.0,7000,В лесу между городом и деревней встречаются звери. Нужно убить их.,в лес между город и деревня встречаться зверь . нужный убить они .,0,Синеглазый,4,5,2
160,11160,да,3.0,7000,"В городе у меня потерялся рюкзак. Нужно найти его как можно скорее. Проверьте все места, где он мог быть оставлен.","в город у я потеряться рюкзак . нужный найти он как можно скорый . проверить весь место , где он мочь быть оставить .",1,Мартин,4,5,3
161,11161,нет,,7500,В городе у меня потерялся рюкзак. Нужно найти его как можно скорее.,в город у я потеряться рюкзак . нужный найти он как можно скорый .,1,Агата,4,4,4
162,11162,да,3.0,6000,"По дороге из деревни разбойники нападают на людей. Нужно проучить их. Будьте осторожны, так как разбойники могут быть опасными.","по дорога из деревня разбойник нападать на человек . нужный проучить они . быть осторожный , так как разбойник мочь быть опасный .",3,Фредерик,4,4,3
163,11163,да,5.0,16000,"В городе монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.","в город монстр похитить путник . нужный спасти они . осмотрите весь возможный укрытие , чтобы найти похитить .",2,Синеглазый,4,2,5
164,11164,да,6.0,26500,Недалеко от города у меня был украден рюкзак. Нужно найти его как можно скорее.,недалеко от город у я быть украсть рюкзак . нужный найти он как можно скорый .,1,Соня,4,4,5
165,11165,да,9.0,12000,"Недалеко от города монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.","недалеко от город монстр похитить путник . нужный освободить они . осмотрите весь возможный укрытие , чтобы найти похитить .",2,Альфред,3,4,4
166,11166,да,2.0,17500,По дороге из деревни у меня была украдена сумка с документами. Нужно вернуть её как можно скорее.,по дорога из деревня у я быть украсть сумка с документ . нужный вернуть она как можно скорый .,1,Леопольд,4,4,3
167,11167,да,5.0,6000,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,в пещера появвиться огромный каменный чудовище . нужный уничтожить он .,0,Леопольд,4,5,4
168,11168,да,7.0,13500,В пещере завёлся дракон. Нужно его убить.,в пещера завестись дракон . нужный он убить .,0,Юлия,3,3,4
169,11169,да,7.0,7500,В деревне монстры похитили путников. Нужно спасти их.,в деревня монстр похитить путник . нужный спасти они .,2,Альфред,4,4,4
170,11170,да,6.0,12000,"В городе у меня пропала драгоценность. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.","в город у я пропасть драгоценность . нужный вернуть она как можно скорый . проверить весь место , где она мочь быть оставить .",1,Леопольд,4,4,4
171,11171,да,8.0,12500,В лесу между городом и деревней были замечены разбойники. Нужно проучить их.,в лес между город и деревня быть заметить разбойник . нужный проучить они .,0,Бендер,5,4,4
172,11172,да,6.0,9500,Недалеко от города у меня была украдена сумка с документами. Нужно найти её как можно скорее.,недалеко от город у я быть украсть сумка с документ . нужный найти она как можно скорый .,1,Соня,4,4,4
173,11173,да,4.0,7500,"По дороге из деревни встречаются звери. Нужно прогнать их. Будьте осторожны, так как звери могут быть опасными.","по дорога из деревня встречаться зверь . нужный прогнать они . быть осторожный , так как зверь мочь быть опасный .",3,Леопольд,4,4,4
174,11174,да,2.0,15000,"По дороге из деревни у меня потерялась драгоценность. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.","по дорога из деревня у я потеряться драгоценность . нужный вернуть она как можно скорый . проверить весь место , где она мочь быть оставить .",1,Пастушок,3,3,3
175,11175,да,9.0,9500,По дороге из деревни заметили разбойников. Нужно убить их.,по дорога из деревня заметить разбойник . нужный убить они .,0,Леопольд,5,5,5
176,11176,да,3.0,18000,Недалеко от города разбойники нападают на людей. Нужно убить их.,недалеко от город разбойник нападать на человек . нужный убить они .,0,Синеглазый,4,3,3
177,11177,да,9.0,13500,"В городе у меня была украдена драгоценность. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.","в город у я быть украсть драгоценность . нужный вернуть она как можно скорый . проверить весь место , где она мочь быть оставить .",1,Альфред,4,3,4
178,11178,да,3.0,21000,В деревне у меня был украден рюкзак. Нужно найти его как можно скорее.,в деревня у я быть украсть рюкзак . нужный найти он как можно скорый .,1,Глюкоза,4,4,3
179,11179,да,5.0,26000,В пещере появвилось огромное каменное чудовище. Нужно убить его.,в пещера появвиться огромный каменный чудовище . нужный убить он .,0,Соня,2,4,4
180,11180,да,10.0,5500,В деревне у меня пропал рюкзак. Нужно найти его как можно скорее.,в деревня у я пропасть рюкзак . нужный найти он как можно скорый .,1,Юлия,4,4,4
181,11181,да,3.0,29000,Недалеко от города у меня пропала драгоценность. Нужно вернуть её как можно скорее.,недалеко от город у я пропасть драгоценность . нужный вернуть она как можно скорый .,1,Синеглазый,5,4,4
182,11182,да,5.0,13500,"В городе у меня пропала драгоценность. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.","в город у я пропасть драгоценность . нужный вернуть она как можно скорый . проверить весь место , где она мочь быть оставить .",1,Синеглазый,4,4,4
183,11183,да,6.0,11000,"В лесу около деревни были замечены разбойники. Нужно проучить их. Будьте осторожны, так как разбойники могут быть опасными.","в лес около деревня быть заметить разбойник . нужный проучить они . быть осторожный , так как разбойник мочь быть опасный .",3,Мартин,4,4,4
184,11184,да,2.0,15000,"В пещере появвилось огромное каменное чудовище. Нужно убить его. Это может потребовать времени и усилий, так как огромное каменное чудовище очень опасен.","в пещера появвиться огромный каменный чудовище . нужный убить он . это мочь потребовать время и усилие , так как огромный каменный чудовище очень опасный .",3,Юлия,4,4,3
185,11185,да,1.0,23000,В лесу между городом и деревней монстры нападают на людей. Нужно уничтожить их.,в лес между город и деревня монстр нападать на человек . нужный уничтожить они .,0,Бендер,4,4,4
186,11186,да,1.0,10500,В пещере завёлся дракон. Нужно его уничтожить.,в пещера завестись дракон . нужный он уничтожить .,0,Синеглазый,2,5,5
187,11187,да,7.0,15000,Недалеко от города у меня был украден рюкзак. Нужно вернуть его как можно скорее.,недалеко от город у я быть украсть рюкзак . нужный вернуть он как можно скорый .,1,Юлия,3,4,3
188,11188,да,9.0,13000,"В лесу недалеко от города заметили разбойников. Нужно убить их. Осмотрите все возможные укрытия, чтобы найти разбойников.","в лес недалеко от город заметить разбойник . нужный убить они . осмотрите весь возможный укрытие , чтобы найти разбойник .",4,Леопольд,5,2,4
189,11189,да,8.0,24500,Недалеко от города заметили разбойников. Нужно прогнать их.,недалеко от город заметить разбойник . нужный прогнать они .,0,Глюкоза,3,5,4
190,11190,да,1.0,25500,"В лесу между городом и деревней были замечены разбойники. Нужно прогнать их. Будьте осторожны, так как разбойники могут быть опасными.","в лес между город и деревня быть заметить разбойник . нужный прогнать они . быть осторожный , так как разбойник мочь быть опасный .",3,Соня,5,4,3
191,11191,да,3.0,16000,"В городе у меня пропал рюкзак. Нужно вернуть его как можно скорее. Проверьте все места, где он мог быть оставлен.","в город у я пропасть рюкзак . нужный вернуть он как можно скорый . проверить весь место , где он мочь быть оставить .",1,Бенедикт,2,3,4
192,11192,да,6.0,7000,Недалеко от города заметили монстров. Нужно победить их.,недалеко от город заметить монстр . нужный победить они .,0,Глюкоза,4,5,5
193,11193,да,3.0,21500,"В лесу недалеко от города видели монстров. Нужно уничтожить их. Осмотрите все возможные укрытия, чтобы найти монстров.","в лес недалеко от город видеть монстр . нужный уничтожить они . осмотрите весь возможный укрытие , чтобы найти монстр .",4,Глюкоза,3,3,5
194,11194,да,8.0,8500,В лесу по дороге от пещеры заметили разбойников. Нужно убить их.,в лес по дорога от пещера заметить разбойник . нужный убить они .,0,Бенедикт,4,4,5
195,11195,да,7.0,15000,В лесу между городом и деревней звери нападают на людей. Нужно прогнать их.,в лес между город и деревня зверь нападать на человек . нужный прогнать они .,0,Альфред,4,3,5
196,11196,да,3.0,17000,"Недалеко от города монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.","недалеко от город монстр похитить путник . нужный спасти они . осмотрите весь возможный укрытие , чтобы найти похитить .",2,Пастушок,4,3,4
197,11197,да,7.0,20500,В пещере завёлся дракон. Нужно его уничтожить.,в пещера завестись дракон . нужный он уничтожить .,0,Соня,5,3,5
198,11198,да,3.0,28500,"В лесу недалеко от города заметили разбойников. Нужно прогнать их. Осмотрите все возможные укрытия, чтобы найти разбойников.","в лес недалеко от город заметить разбойник . нужный прогнать они . осмотрите весь возможный укрытие , чтобы найти разбойник .",4,Соня,4,4,4
199,11199,да,6.0,7000,В лесу около деревни заметили разбойников. Нужно убить их.,в лес около деревня заметить разбойник . нужный убить они .,0,Бенедикт,4,4,2
200,11200,да,10.0,17000,В лесу между городом и деревней видели монстров. Нужно уничтожить их.,в лес между город и деревня видеть монстр . нужный уничтожить они .,0,Альфред,4,2,4
201,11201,да,10.0,29000,В лесу около деревни были замечены разбойники. Нужно проучить их.,в лес около деревня быть заметить разбойник . нужный проучить они .,0,Синеглазый,4,4,3
202,11202,да,2.0,5000,"В лесу по дороге от пещеры заметили монстров. Нужно победить их. Осмотрите все возможные укрытия, чтобы найти монстров.","в лес по дорога от пещера заметить монстр . нужный победить они . осмотрите весь возможный укрытие , чтобы найти монстр .",4,Агата,3,5,3
203,11203,да,5.0,11500,"По дороге из деревни монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.","по дорога из деревня монстр похитить путник . нужный спасти они . осмотрите весь возможный укрытие , чтобы найти похитить .",2,Агата,4,4,3
204,11204,да,5.0,5500,Недалеко от города у меня потерялась сумка с документами. Нужно найти её как можно скорее.,недалеко от город у я потеряться сумка с документ . нужный найти она как можно скорый .,1,Юлия,5,5,2
205,11205,да,10.0,25000,В лесу около деревни встречаются звери. Нужно убить их.,в лес около деревня встречаться зверь . нужный убить они .,0,Синеглазый,4,4,3
206,11206,да,1.0,9500,В городе у меня была украдена драгоценность. Нужно найти её как можно скорее.,в город у я быть украсть драгоценность . нужный найти она как можно скорый .,1,Синеглазый,5,4,3
207,11207,да,7.0,17500,"В лесу по дороге от пещеры встречаются звери. Нужно прогнать их. Будьте осторожны, так как звери могут быть опасными.","в лес по дорога от пещера встречаться зверь . нужный прогнать они . быть осторожный , так как зверь мочь быть опасный .",3,Синеглазый,5,2,4
208,11208,да,8.0,9500,"В деревне монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.","в деревня монстр похитить путник . нужный освободить они . осмотрите весь возможный укрытие , чтобы найти похитить .",2,Альфред,5,4,4
209,11209,да,2.0,21000,Недалеко от города заметили зверей. Нужно убить их.,недалеко от город заметить зверь . нужный убить они .,0,Фредерик,3,5,4
210,11210,да,3.0,5500,В лесу недалеко от города заметили разбойников. Нужно убить их.,в лес недалеко от город заметить разбойник . нужный убить они .,0,Агата,4,2,5
211,11211,да,8.0,22000,"В пещере завёлся дракон. Нужно его уничтожить. Это может потребовать времени и усилий, так как дракон очень опасен.","в пещера завестись дракон . нужный он уничтожить . это мочь потребовать время и усилие , так как дракон очень опасный .",3,Альфред,4,4,4
212,11212,да,3.0,20500,По дороге из деревни у меня пропала драгоценность. Нужно найти её как можно скорее.,по дорога из деревня у я пропасть драгоценность . нужный найти она как можно скорый .,1,Бендер,3,5,4
213,11213,да,8.0,15000,В пещере появвилось огромное каменное чудовище. Нужно убить его.,в пещера появвиться огромный каменный чудовище . нужный убить он .,0,Юлия,4,3,4
214,11214,да,3.0,17000,"По дороге из деревни у меня пропала сумка с документами. Нужно найти её как можно скорее. Проверьте все места, где она могла быть оставлена.","по дорога из деревня у я пропасть сумка с документ . нужный найти она как можно скорый . проверить весь место , где она мочь быть оставить .",1,Бенедикт,4,5,4
215,11215,да,9.0,29000,"В деревне у меня была украдена сумка с документами. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.","в деревня у я быть украсть сумка с документ . нужный вернуть она как можно скорый . проверить весь место , где она мочь быть оставить .",1,Мартин,3,3,3
216,11216,да,2.0,28000,"Недалеко от города у меня пропала драгоценность. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.","недалеко от город у я пропасть драгоценность . нужный вернуть она как можно скорый . проверить весь место , где она мочь быть оставить .",1,Леопольд,4,3,4
217,11217,да,5.0,7500,"По дороге из деревни у меня была украдена драгоценность. Нужно найти её как можно скорее. Проверьте все места, где она могла быть оставлена.","по дорога из деревня у я быть украсть драгоценность . нужный найти она как можно скорый . проверить весь место , где она мочь быть оставить .",1,Бенедикт,3,3,4
218,11218,нет,,16000,"Недалеко от города монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.","недалеко от город монстр похитить путник . нужный спасти они . осмотрите весь возможный укрытие , чтобы найти похитить .",2,Агата,4,3,2
219,11219,да,10.0,19500,"Недалеко от города монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.","недалеко от город монстр похитить путник . нужный освободить они . осмотрите весь возможный укрытие , чтобы найти похитить .",2,Агата,4,3,5
220,11220,да,1.0,28000,В лесу недалеко от города встречаются звери. Нужно убить их.,в лес недалеко от город встречаться зверь . нужный убить они .,0,Альфред,4,5,4
221,11221,да,1.0,11500,"Недалеко от города у меня потерялась сумка с документами. Нужно найти её как можно скорее. Проверьте все места, где она могла быть оставлена.","недалеко от город у я потеряться сумка с документ . нужный найти она как можно скорый . проверить весь место , где она мочь быть оставить .",1,Мартин,5,4,4
222,11222,да,9.0,25500,В деревне у меня пропал рюкзак. Нужно вернуть его как можно скорее.,в деревня у я пропасть рюкзак . нужный вернуть он как можно скорый .,1,Мартин,5,4,4
223,11223,да,2.0,6500,В лесу по дороге от пещеры видели монстров. Нужно победить их.,в лес по дорога от пещера видеть монстр . нужный победить они .,0,Леопольд,4,4,4
224,11224,да,5.0,12500,Недалеко от города у меня пропал рюкзак. Нужно найти его как можно скорее.,недалеко от город у я пропасть рюкзак . нужный найти он как можно скорый .,1,Фредерик,4,4,4
225,11225,да,9.0,29500,В пещере завёлся дракон. Нужно его уничтожить.,в пещера завестись дракон . нужный он уничтожить .,0,Юлия,4,4,2
226,11226,да,5.0,16500,"В лесу около деревни видели монстров. Нужно уничтожить их. Осмотрите все возможные укрытия, чтобы найти монстров.","в лес около деревня видеть монстр . нужный уничтожить они . осмотрите весь возможный укрытие , чтобы найти монстр .",4,Фредерик,4,4,5
227,11227,да,1.0,14500,В лесу около деревни заметили зверей. Нужно убить их.,в лес около деревня заметить зверь . нужный убить они .,0,Бендер,4,4,4
228,11228,да,4.0,14000,"Недалеко от города у меня пропала драгоценность. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.","недалеко от город у я пропасть драгоценность . нужный вернуть она как можно скорый . проверить весь место , где она мочь быть оставить .",1,Агата,3,4,5
229,11229,да,4.0,11500,"Недалеко от города разбойники нападают на людей. Нужно убить их. Будьте осторожны, так как разбойники могут быть опасными.","недалеко от город разбойник нападать на человек . нужный убить они . быть осторожный , так как разбойник мочь быть опасный .",3,Бендер,4,5,2
230,11230,да,7.0,10500,В городе у меня пропала драгоценность. Нужно найти её как можно скорее.,в город у я пропасть драгоценность . нужный найти она как можно скорый .,1,Бенедикт,4,4,4
231,11231,да,3.0,22500,Недалеко от города заметили зверей. Нужно прогнать их.,недалеко от город заметить зверь . нужный прогнать они .,0,Леопольд,3,4,4
232,11232,нет,,17500,В деревне монстры похитили путников. Нужно спасти их.,в деревня монстр похитить путник . нужный спасти они .,2,Юлия,3,5,4
233,11233,да,7.0,24000,По дороге из деревни у меня пропал рюкзак. Нужно найти его как можно скорее.,по дорога из деревня у я пропасть рюкзак . нужный найти он как можно скорый .,1,Леопольд,4,4,5
234,11234,нет,,17000,В лесу по дороге от пещеры заметили разбойников. Нужно прогнать их.,в лес по дорога от пещера заметить разбойник . нужный прогнать они .,0,Пастушок,4,4,4
235,11235,да,5.0,13500,В городе у меня потерялся рюкзак. Нужно вернуть его как можно скорее.,в город у я потеряться рюкзак . нужный вернуть он как можно скорый .,1,Синеглазый,3,4,4
236,11236,да,9.0,26000,В лесу по дороге от пещеры заметили разбойников. Нужно проучить их.,в лес по дорога от пещера заметить разбойник . нужный проучить они .,0,Фредерик,4,5,5
237,11237,да,2.0,23000,В лесу недалеко от города звери нападают на людей. Нужно убить их.,в лес недалеко от город зверь нападать на человек . нужный убить они .,0,Альфред,3,5,4
238,11238,да,2.0,21000,В лесу по дороге от пещеры разбойники нападают на людей. Нужно прогнать их.,в лес по дорога от пещера разбойник нападать на человек . нужный прогнать они .,0,Синеглазый,4,4,4
239,11239,да,1.0,9500,"В лесу по дороге от пещеры звери нападают на людей. Нужно убить их. Осмотрите все возможные укрытия, чтобы найти зверей.","в лес по дорога от пещера зверь нападать на человек . нужный убить они . осмотрите весь возможный укрытие , чтобы найти зверь .",4,Юлия,3,4,5
240,11240,да,7.0,15000,"В лесу между городом и деревней разбойники нападают на людей. Нужно убить их. Осмотрите все возможные укрытия, чтобы найти разбойников.","в лес между город и деревня разбойник нападать на человек . нужный убить они . осмотрите весь возможный укрытие , чтобы найти разбойник .",4,Агата,4,3,2
241,11241,да,4.0,15500,"В городе монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.","в город монстр похитить путник . нужный спасти они . осмотрите весь возможный укрытие , чтобы найти похитить .",2,Юлия,2,3,4
242,11242,да,5.0,23000,"Недалеко от города у меня пропала сумка с документами. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.","недалеко от город у я пропасть сумка с документ . нужный вернуть она как можно скорый . проверить весь место , где она мочь быть оставить .",1,Фредерик,4,5,4
243,11243,да,7.0,8000,В деревне у меня потерялся рюкзак. Нужно вернуть его как можно скорее.,в деревня у я потеряться рюкзак . нужный вернуть он как можно скорый .,1,Синеглазый,4,3,4
244,11244,да,2.0,29000,В пещере завёлся дракон. Нужно его убить.,в пещера завестись дракон . нужный он убить .,0,Юлия,4,3,4
245,11245,да,2.0,5500,В городе у меня потерялся рюкзак. Нужно найти его как можно скорее.,в город у я потеряться рюкзак . нужный найти он как можно скорый .,1,Синеглазый,4,3,4
246,11246,да,6.0,8500,В пещере завёлся дракон. Нужно его убить.,в пещера завестись дракон . нужный он убить .,0,Мартин,4,4,4
247,11247,да,6.0,18500,"В деревне монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.","в деревня монстр похитить путник . нужный освободить они . осмотрите весь возможный укрытие , чтобы найти похитить .",2,Леопольд,4,4,2
248,11248,да,2.0,23000,"В деревне монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.","в деревня монстр похитить путник . нужный освободить они . осмотрите весь возможный укрытие , чтобы найти похитить .",2,Бендер,2,4,4
249,11249,да,1.0,14000,В деревне монстры похитили путников. Нужно спасти их.,в деревня монстр похитить путник . нужный спасти они .,2,Глюкоза,4,5,4
250,11250,да,9.0,22000,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,в пещера появвиться огромный каменный чудовище . нужный уничтожить он .,0,Бендер,4,4,3
251,11251,да,3.0,23500,"По дороге из деревни встречаются звери. Нужно убить их. Будьте осторожны, так как звери могут быть опасными.","по дорога из деревня встречаться зверь . нужный убить они . быть осторожный , так как зверь мочь быть опасный .",3,Бенедикт,4,4,3
