,﻿Номер поручения,Заказчик,Дата поручения,Выполнено,Дата выполнения,Затрачено дней,Сумма вознаграждения,Описание,Номер поручения,group,Герой,Оценка за качество,Оценка по срокам,Оценка за вежливость
148,11109,Анна,1051-11-09 00:00:00,да,1051-12-29,3.0,5000,"Недалеко от города заметили монстров. Нужно уничтожить их. Будьте осторожны, так как монстры могут быть опасными.",11109,3,Пастушок,5,4,4
149,11379,Чарли,1051-11-12 00:00:00,да,1051-12-24,9.0,26000,По дороге из деревни монстры похитили путников. Нужно освободить их.,11379,2,Бенедикт,4,3,4
150,11253,Чарли,1051-11-13 00:00:00,да,1052-01-02,1.0,9000,"Недалеко от города заметили зверей. Нужно убить их. Будьте осторожны, так как звери могут быть опасными.",11253,3,Юлия,3,5,4
151,11377,Эмилио,1051-11-19 00:00:00,да,1051-12-06,9.0,27500,В деревне у меня была украдена сумка с документами. Нужно вернуть её как можно скорее.,11377,1,Мартин,4,3,4
152,11339,Леонтия,1051-11-20 00:00:00,да,1051-12-18,8.0,10000,В пещере завёлся дракон. Нужно его убить.,11339,0,Мартин,5,4,2
153,11275,Татьяна,1051-11-22 00:00:00,да,1052-01-01,7.0,22500,В пещере появвилось огромное каменное чудовище. Нужно убить его.,11275,0,Бенедикт,4,5,4
154,11101,Максимилиан,1051-11-25 00:00:00,да,1052-01-04,2.0,25000,В лесу недалеко от города заметили зверей. Нужно прогнать их.,11101,0,Мартин,4,4,3
155,11368,Максимилиан,1051-11-29 00:00:00,да,1052-01-23,10.0,25500,"Недалеко от города у меня была украдена сумка с документами. Нужно найти её как можно скорее. Проверьте все места, где она могла быть оставлена.",11368,1,Соня,4,5,4
156,11349,Леонтия,1051-11-30 00:00:00,да,1051-12-07,5.0,29500,В лесу около деревни видели монстров. Нужно уничтожить их.,11349,0,Фредерик,4,5,3
157,11074,Мария,1051-12-02 00:00:00,да,1052-01-25,10.0,18500,"В пещере завёлся дракон. Нужно его уничтожить. Это может потребовать времени и усилий, так как дракон очень опасен.",11074,3,Соня,3,5,4
158,11192,Влад,1051-12-06 00:00:00,да,1052-01-22,6.0,7000,Недалеко от города заметили монстров. Нужно победить их.,11192,0,Глюкоза,4,5,5
159,11409,Надя,1051-12-07 00:00:00,да,1051-12-26,7.0,16000,В лесу по дороге от пещеры звери нападают на людей. Нужно прогнать их.,11409,0,Бенедикт,3,4,3
160,11057,Эмилио,1051-12-09 00:00:00,да,1051-12-17,4.0,28000,В пещере завёлся дракон. Нужно его уничтожить.,11057,0,Бендер,5,4,4
161,11328,Бьянка,1051-12-15 00:00:00,да,1052-01-14,2.0,22000,Недалеко от города у меня был украден рюкзак. Нужно вернуть его как можно скорее.,11328,1,Синеглазый,3,4,3
162,11479,Иван,1051-12-16 00:00:00,да,1052-02-04,1.0,20500,"В деревне у меня пропала драгоценность. Нужно найти её как можно скорее. Проверьте все места, где она могла быть оставлена.",11479,1,Пастушок,5,4,4
163,11407,Эмилио,1051-12-16 00:00:00,да,1051-12-31,7.0,19000,В городе у меня пропал рюкзак. Нужно найти его как можно скорее.,11407,1,Фредерик,4,3,4
164,11443,Мария,1051-12-17 00:00:00,да,1052-02-12,5.0,16500,По дороге из деревни заметили зверей. Нужно прогнать их.,11443,0,Мартин,5,5,2
165,11370,Олег,1051-12-19 00:00:00,да,1052-01-08,6.0,5000,Недалеко от города у меня потерялся рюкзак. Нужно найти его как можно скорее.,11370,1,Альфред,4,4,3
166,11353,Влад,1051-12-20 00:00:00,да,1051-12-29,6.0,21500,Недалеко от города заметили разбойников. Нужно прогнать их.,11353,0,Бендер,3,2,5
167,11086,Максимилиан,1051-12-23 00:00:00,да,1052-02-12,10.0,24500,"В городе монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.",11086,2,Юлия,4,4,4
168,11159,Егор,1051-12-24 00:00:00,да,1051-12-31,3.0,7000,В лесу между городом и деревней встречаются звери. Нужно убить их.,11159,0,Синеглазый,4,5,2
169,11481,Егор,1051-12-24 00:00:00,да,1052-01-06,3.0,27500,В городе у меня потерялась драгоценность. Нужно вернуть её как можно скорее.,11481,1,Бендер,4,5,5
170,11476,Аделина,1052-01-01 00:00:00,да,1052-01-07,3.0,10000,"По дороге из деревни звери нападают на людей. Нужно прогнать их. Будьте осторожны, так как звери могут быть опасными.",11476,3,Юлия,4,3,3
171,11186,Бабушка Синь,1052-01-02 00:00:00,да,1052-01-14,1.0,10500,В пещере завёлся дракон. Нужно его уничтожить.,11186,0,Синеглазый,2,5,5
172,11012,Эмилио,1052-01-08 00:00:00,да,1052-02-14,4.0,11000,В пещере завёлся дракон. Нужно его убить.,11012,0,Фредерик,3,4,4
173,11337,Егор,1052-01-11 00:00:00,да,1052-02-08,1.0,8000,"В пещере появвилось огромное каменное чудовище. Нужно убить его. Это может потребовать времени и усилий, так как огромное каменное чудовище очень опасен.",11337,3,Юлия,4,4,4
174,11405,Бабушка Синь,1052-01-12 00:00:00,да,1052-02-15,2.0,17000,В пещере появвилось огромное каменное чудовище. Нужно убить его.,11405,0,Глюкоза,2,5,3
175,11168,Надя,1052-01-13 00:00:00,да,1052-03-11,7.0,13500,В пещере завёлся дракон. Нужно его убить.,11168,0,Юлия,3,3,4
176,11388,Бабушка Синь,1052-01-16 00:00:00,да,1052-02-09,6.0,13500,В лесу около деревни встречаются звери. Нужно прогнать их.,11388,0,Пастушок,4,4,4
177,11054,Бабушка Синь,1052-01-21 00:00:00,да,1052-03-09,9.0,21500,"В пещере завёлся дракон. Нужно его убить. Это может потребовать времени и усилий, так как дракон очень опасен.",11054,3,Мартин,4,5,5
178,11449,Егор,1052-01-31 00:00:00,да,1052-03-17,9.0,22000,В городе у меня потерялась сумка с документами. Нужно найти её как можно скорее.,11449,1,Юлия,4,4,4
179,11060,Анна,1052-01-31 00:00:00,да,1052-02-06,5.0,23500,В городе у меня потерялась драгоценность. Нужно вернуть её как можно скорее.,11060,1,Фредерик,4,3,5
180,11226,Надя,1052-02-02 00:00:00,да,1052-02-24,5.0,16500,"В лесу около деревни видели монстров. Нужно уничтожить их. Осмотрите все возможные укрытия, чтобы найти монстров.",11226,4,Фредерик,4,4,5
181,11281,Эмилио,1052-02-04 00:00:00,да,1052-02-29,6.0,25500,"В городе монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.",11281,2,Соня,2,2,3
182,11333,Аделина,1052-02-04 00:00:00,да,1052-03-28,8.0,17500,По дороге из деревни звери нападают на людей. Нужно убить их.,11333,0,Бенедикт,4,3,4
183,11297,Анна,1052-02-10 00:00:00,да,1052-02-26,6.0,14500,"В деревне у меня пропала сумка с документами. Нужно найти её как можно скорее. Проверьте все места, где она могла быть оставлена.",11297,1,Пастушок,4,4,4
184,11315,Мария,1052-02-11 00:00:00,да,1052-04-11,6.0,7500,В деревне у меня была украдена драгоценность. Нужно найти её как можно скорее.,11315,1,Соня,5,4,3
185,11128,Надя,1052-02-15 00:00:00,да,1052-03-21,8.0,26500,Недалеко от города у меня был украден рюкзак. Нужно вернуть его как можно скорее.,11128,1,Леопольд,2,4,3
186,11040,Бабушка Синь,1052-02-18 00:00:00,да,1052-03-19,7.0,12500,"По дороге из деревни монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.",11040,2,Бендер,4,4,4
187,11176,Леонтия,1052-02-18 00:00:00,да,1052-04-08,3.0,18000,Недалеко от города разбойники нападают на людей. Нужно убить их.,11176,0,Синеглазый,4,3,3
188,11011,Аделина,1052-02-19 00:00:00,да,1052-02-28,3.0,6500,"Недалеко от города заметили разбойников. Нужно прогнать их. Будьте осторожны, так как разбойники могут быть опасными.",11011,3,Альфред,4,4,3
189,11004,Бьянка,1052-02-23 00:00:00,да,1052-03-30,8.0,10500,В деревне у меня пропала сумка с документами. Нужно найти её как можно скорее.,11004,1,Юлия,4,4,5
190,11382,Бабушка Синь,1052-02-26 00:00:00,да,1052-04-02,4.0,21500,В лесу около деревни встречаются звери. Нужно убить их.,11382,0,Юлия,5,3,4
191,11039,Иван,1052-02-26 00:00:00,да,1052-03-05,1.0,26500,В пещере завёлся дракон. Нужно его убить.,11039,0,Глюкоза,3,4,3
192,11325,Аделина,1052-02-27 00:00:00,да,1052-03-08,3.0,26500,По дороге из деревни у меня был украден рюкзак. Нужно вернуть его как можно скорее.,11325,1,Агата,3,2,5
193,11403,Чарли,1052-02-28 00:00:00,да,1052-03-14,9.0,18500,В деревне у меня был украден рюкзак. Нужно вернуть его как можно скорее.,11403,1,Бендер,5,4,2
194,11259,Бабушка Синь,1052-03-02 00:00:00,да,1052-03-29,2.0,15000,В пещере появвилось огромное каменное чудовище. Нужно убить его.,11259,0,Синеглазый,4,5,5
195,11384,Влад,1052-03-03 00:00:00,да,1052-04-25,1.0,13000,"Недалеко от города у меня была украдена сумка с документами. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.",11384,1,Мартин,3,4,4
196,11362,Леонтия,1052-03-07 00:00:00,да,1052-03-27,1.0,22500,"По дороге из деревни монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.",11362,2,Альфред,4,4,5
197,11124,Чарли,1052-03-11 00:00:00,да,1052-05-07,6.0,21000,В лесу по дороге от пещеры видели монстров. Нужно уничтожить их.,11124,0,Фредерик,3,4,2
198,11149,Татьяна,1052-03-14 00:00:00,да,1052-04-18,4.0,15500,По дороге из деревни монстры похитили путников. Нужно освободить их.,11149,2,Агата,4,3,2
199,11132,Эмилио,1052-03-14 00:00:00,да,1052-04-07,5.0,20000,В лесу по дороге от пещеры встречаются звери. Нужно прогнать их.,11132,0,Юлия,3,5,4
200,11255,Максимилиан,1052-03-16 00:00:00,да,1052-04-09,7.0,9500,В пещере появвилось огромное каменное чудовище. Нужно убить его.,11255,0,Бендер,4,4,3
201,11231,Леонтия,1052-03-16 00:00:00,да,1052-03-20,3.0,22500,Недалеко от города заметили зверей. Нужно прогнать их.,11231,0,Леопольд,3,4,4
202,11229,Роман,1052-03-16 00:00:00,да,1052-03-31,4.0,11500,"Недалеко от города разбойники нападают на людей. Нужно убить их. Будьте осторожны, так как разбойники могут быть опасными.",11229,3,Бендер,4,5,2
203,11105,Олег,1052-03-17 00:00:00,да,1052-04-18,8.0,24500,"По дороге из деревни монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.",11105,2,Глюкоза,4,4,4
204,11110,Татьяна,1052-03-19 00:00:00,да,1052-03-25,5.0,19500,"По дороге из деревни разбойники нападают на людей. Нужно прогнать их. Будьте осторожны, так как разбойники могут быть опасными.",11110,3,Соня,2,5,3
205,11262,Аделина,1052-03-23 00:00:00,да,1052-04-06,10.0,10000,Недалеко от города встречаются звери. Нужно убить их.,11262,0,Агата,4,4,5
206,11053,Максимилиан,1052-03-25 00:00:00,да,1052-05-19,9.0,12500,Недалеко от города у меня была украдена драгоценность. Нужно найти её как можно скорее.,11053,1,Бенедикт,4,4,3
207,11184,Максимилиан,1052-03-26 00:00:00,да,1052-05-21,2.0,15000,"В пещере появвилось огромное каменное чудовище. Нужно убить его. Это может потребовать времени и усилий, так как огромное каменное чудовище очень опасен.",11184,3,Юлия,4,4,3
208,11486,Чарли,1052-03-30 00:00:00,да,1052-04-13,6.0,7000,В деревне у меня пропал рюкзак. Нужно вернуть его как можно скорее.,11486,1,Бендер,3,3,3
209,11357,Егор,1052-04-06 00:00:00,да,1052-05-11,9.0,5500,"В пещере завёлся дракон. Нужно его убить. Это может потребовать времени и усилий, так как дракон очень опасен.",11357,3,Синеглазый,4,4,5
210,11490,Анна,1052-04-07 00:00:00,да,1052-04-24,1.0,26500,В лесу по дороге от пещеры видели монстров. Нужно уничтожить их.,11490,0,Соня,4,4,5
211,11480,Влад,1052-04-07 00:00:00,да,1052-05-11,2.0,16500,В городе у меня потерялась драгоценность. Нужно найти её как можно скорее.,11480,1,Пастушок,4,3,5
212,11444,Аделина,1052-04-11 00:00:00,да,1052-06-01,10.0,16500,В пещере появвилось огромное каменное чудовище. Нужно убить его.,11444,0,Леопольд,4,3,5
213,11071,Татьяна,1052-04-12 00:00:00,да,1052-06-11,8.0,5500,"В лесу по дороге от пещеры были замечены разбойники. Нужно проучить их. Осмотрите все возможные укрытия, чтобы найти разбойников.",11071,4,Фредерик,4,3,5
214,11221,Иван,1052-04-12 00:00:00,да,1052-05-17,1.0,11500,"Недалеко от города у меня потерялась сумка с документами. Нужно найти её как можно скорее. Проверьте все места, где она могла быть оставлена.",11221,1,Мартин,5,4,4
215,11033,Надя,1052-04-12 00:00:00,да,1052-06-08,4.0,21500,"В городе монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.",11033,2,Синеглазый,4,3,4
216,11319,Мария,1052-04-17 00:00:00,да,1052-06-09,4.0,22000,Недалеко от города встречаются звери. Нужно убить их.,11319,0,Синеглазый,4,4,5
217,11236,Анна,1052-04-17 00:00:00,да,1052-05-31,9.0,26000,В лесу по дороге от пещеры заметили разбойников. Нужно проучить их.,11236,0,Фредерик,4,5,5
218,11287,Эмилио,1052-04-20 00:00:00,да,1052-06-16,2.0,15000,По дороге из деревни монстры похитили путников. Нужно освободить их.,11287,2,Пастушок,3,3,5
219,11209,Леонтия,1052-04-20 00:00:00,да,1052-05-23,2.0,21000,Недалеко от города заметили зверей. Нужно убить их.,11209,0,Фредерик,3,5,4
220,11336,Надя,1052-04-21 00:00:00,да,1052-06-12,2.0,29000,В деревне монстры похитили путников. Нужно освободить их.,11336,2,Юлия,3,2,3
221,11187,Надя,1052-04-24 00:00:00,да,1052-06-18,7.0,15000,Недалеко от города у меня был украден рюкзак. Нужно вернуть его как можно скорее.,11187,1,Юлия,3,4,3
222,11095,Бьянка,1052-04-25 00:00:00,да,1052-05-07,7.0,23500,"По дороге из деревни у меня пропала драгоценность. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.",11095,1,Мартин,3,4,5
223,11144,Роман,1052-05-01 00:00:00,да,1052-06-28,2.0,14500,"В пещере завёлся дракон. Нужно его уничтожить. Это может потребовать времени и усилий, так как дракон очень опасен.",11144,3,Юлия,3,2,3
224,11047,Иван,1052-05-06 00:00:00,да,1052-05-21,2.0,10500,Недалеко от города у меня потерялась драгоценность. Нужно найти её как можно скорее.,11047,1,Альфред,3,3,3
225,11260,Бьянка,1052-05-08 00:00:00,да,1052-07-02,7.0,25500,"В деревне монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.",11260,2,Синеглазый,3,4,4
226,11477,Влад,1052-05-09 00:00:00,да,1052-05-16,1.0,24000,Недалеко от города у меня потерялась драгоценность. Нужно найти её как можно скорее.,11477,1,Фредерик,4,4,4
227,11119,Эмилио,1052-05-09 00:00:00,да,1052-06-06,1.0,25500,В пещере завёлся дракон. Нужно его уничтожить.,11119,0,Глюкоза,4,4,5
228,11313,Влад,1052-05-10 00:00:00,да,1052-06-16,10.0,12000,"В лесу по дороге от пещеры заметили зверей. Нужно убить их. Будьте осторожны, так как звери могут быть опасными.",11313,3,Мартин,4,4,5
229,11355,Мария,1052-05-12 00:00:00,да,1052-06-27,8.0,17000,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,11355,0,Бенедикт,3,5,5
230,11055,Олег,1052-05-12 00:00:00,да,1052-06-27,1.0,11000,"В пещере завёлся дракон. Нужно его уничтожить. Это может потребовать времени и усилий, так как дракон очень опасен.",11055,3,Соня,5,5,3
231,11378,Бабушка Синь,1052-05-15 00:00:00,да,1052-06-15,3.0,8500,Недалеко от города разбойники нападают на людей. Нужно прогнать их.,11378,0,Юлия,4,2,4
232,11014,Татьяна,1052-05-16 00:00:00,да,1052-05-30,3.0,17500,В лесу по дороге от пещеры заметили зверей. Нужно убить их.,11014,0,Пастушок,3,4,5
233,11361,Роман,1052-05-21 00:00:00,да,1052-06-26,1.0,17500,В деревне у меня потерялась сумка с документами. Нужно вернуть её как можно скорее.,11361,1,Юлия,4,2,4
234,11465,Надя,1052-05-22 00:00:00,да,1052-06-10,10.0,28000,Недалеко от города разбойники нападают на людей. Нужно убить их.,11465,0,Пастушок,4,5,4
235,11225,Влад,1052-05-23 00:00:00,да,1052-07-05,9.0,29500,В пещере завёлся дракон. Нужно его уничтожить.,11225,0,Юлия,4,4,2
236,11437,Мария,1052-05-24 00:00:00,да,1052-06-09,8.0,21000,В пещере завёлся дракон. Нужно его уничтожить.,11437,0,Фредерик,5,5,4
237,11081,Татьяна,1052-05-29 00:00:00,да,1052-06-27,9.0,19500,Недалеко от города звери нападают на людей. Нужно убить их.,11081,0,Леопольд,4,5,4
238,11068,Надя,1052-05-31 00:00:00,да,1052-06-13,6.0,9000,"В пещере завёлся дракон. Нужно его уничтожить. Это может потребовать времени и усилий, так как дракон очень опасен.",11068,3,Пастушок,4,4,4
239,11166,Иван,1052-05-31 00:00:00,да,1052-07-21,2.0,17500,По дороге из деревни у меня была украдена сумка с документами. Нужно вернуть её как можно скорее.,11166,1,Леопольд,4,4,3
240,11203,Аделина,1052-06-03 00:00:00,да,1052-07-03,5.0,11500,"По дороге из деревни монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.",11203,2,Агата,4,4,3
241,11331,Иван,1052-06-04 00:00:00,да,1052-07-26,2.0,6500,В пещере завёлся дракон. Нужно его уничтожить.,11331,0,Глюкоза,4,4,5
242,11142,Аделина,1052-06-06 00:00:00,да,1052-07-05,4.0,11000,"Недалеко от города монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.",11142,2,Пастушок,4,4,3
243,11139,Мария,1052-06-12 00:00:00,да,1052-08-04,8.0,5000,"В городе у меня была украдена сумка с документами. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.",11139,1,Соня,4,4,4
244,11269,Иван,1052-06-13 00:00:00,да,1052-08-02,5.0,6000,"В деревне у меня потерялась сумка с документами. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.",11269,1,Глюкоза,4,5,4
245,11467,Эмилио,1052-06-17 00:00:00,да,1052-06-29,7.0,18500,"В лесу около деревни монстры нападают на людей. Нужно уничтожить их. Будьте осторожны, так как монстры могут быть опасными.",11467,3,Альфред,4,5,4
246,11035,Влад,1052-06-26 00:00:00,да,1052-07-01,3.0,27500,В деревне у меня пропал рюкзак. Нужно найти его как можно скорее.,11035,1,Бенедикт,5,3,4
247,11484,Анна,1052-06-26 00:00:00,да,1052-07-16,1.0,29000,В лесу по дороге от пещеры разбойники нападают на людей. Нужно проучить их.,11484,0,Бенедикт,5,4,4
248,11250,Егор,1052-06-28 00:00:00,да,1052-07-24,9.0,22000,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,11250,0,Бендер,4,4,3
249,11069,Аделина,1052-06-30 00:00:00,да,1052-08-16,8.0,11500,В лесу недалеко от города заметили разбойников. Нужно прогнать их.,11069,0,Мартин,3,5,3
250,11160,Аделина,1052-07-02 00:00:00,да,1052-07-18,3.0,7000,"В городе у меня потерялся рюкзак. Нужно найти его как можно скорее. Проверьте все места, где он мог быть оставлен.",11160,1,Мартин,4,5,3
251,11038,Влад,1052-07-03 00:00:00,да,1052-08-03,3.0,19000,"Недалеко от города монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.",11038,2,Мартин,3,4,5
252,11148,Бабушка Синь,1052-07-03 00:00:00,да,1052-08-06,7.0,22000,По дороге из деревни у меня была украдена драгоценность. Нужно найти её как можно скорее.,11148,1,Бендер,4,3,4
253,11326,Егор,1052-07-05 00:00:00,да,1052-08-27,1.0,5000,Недалеко от города у меня потерялась сумка с документами. Нужно найти её как можно скорее.,11326,1,Соня,5,5,2
254,11032,Иван,1052-07-07 00:00:00,да,1052-08-23,8.0,9000,Недалеко от города у меня был украден рюкзак. Нужно вернуть его как можно скорее.,11032,1,Пастушок,4,3,5
255,11380,Влад,1052-07-08 00:00:00,да,1052-07-26,10.0,8500,По дороге из деревни у меня пропала сумка с документами. Нужно вернуть её как можно скорее.,11380,1,Глюкоза,5,4,5
256,11191,Бабушка Синь,1052-07-09 00:00:00,да,1052-08-04,3.0,16000,"В городе у меня пропал рюкзак. Нужно вернуть его как можно скорее. Проверьте все места, где он мог быть оставлен.",11191,1,Бенедикт,2,3,4
257,11312,Чарли,1052-07-09 00:00:00,да,1052-08-22,8.0,8000,В пещере завёлся дракон. Нужно его уничтожить.,11312,0,Альфред,4,4,3
258,11172,Роман,1052-07-11 00:00:00,да,1052-09-08,6.0,9500,Недалеко от города у меня была украдена сумка с документами. Нужно найти её как можно скорее.,11172,1,Соня,4,4,4
259,11189,Роман,1052-07-14 00:00:00,да,1052-08-20,8.0,24500,Недалеко от города заметили разбойников. Нужно прогнать их.,11189,0,Глюкоза,3,5,4
260,11107,Максимилиан,1052-07-16 00:00:00,да,1052-08-27,5.0,8000,В деревне у меня была украдена сумка с документами. Нужно вернуть её как можно скорее.,11107,1,Пастушок,3,4,5
261,11098,Бьянка,1052-07-16 00:00:00,да,1052-09-07,6.0,5500,"В пещере завёлся дракон. Нужно его уничтожить. Это может потребовать времени и усилий, так как дракон очень опасен.",11098,3,Бендер,4,5,3
262,11247,Роман,1052-07-16 00:00:00,да,1052-08-19,6.0,18500,"В деревне монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.",11247,2,Леопольд,4,4,2
263,11422,Эмилио,1052-07-19 00:00:00,да,1052-08-11,8.0,27500,Недалеко от города у меня пропал рюкзак. Нужно найти его как можно скорее.,11422,1,Леопольд,4,3,4
264,11196,Максимилиан,1052-07-22 00:00:00,да,1052-09-04,3.0,17000,"Недалеко от города монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.",11196,2,Пастушок,4,3,4
265,11179,Эмилио,1052-07-26 00:00:00,да,1052-09-04,5.0,26000,В пещере появвилось огромное каменное чудовище. Нужно убить его.,11179,0,Соня,2,4,4
266,11248,Максимилиан,1052-07-30 00:00:00,да,1052-09-26,2.0,23000,"В деревне монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.",11248,2,Бендер,2,4,4
267,11106,Мария,1052-08-01 00:00:00,да,1052-09-25,9.0,10000,В городе у меня была украдена драгоценность. Нужно найти её как можно скорее.,11106,1,Мартин,5,3,5
268,11219,Егор,1052-08-04 00:00:00,да,1052-08-16,10.0,19500,"Недалеко от города монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.",11219,2,Агата,4,3,5
269,11494,Леонтия,1052-08-05 00:00:00,да,1052-09-15,6.0,13500,Недалеко от города у меня пропал рюкзак. Нужно вернуть его как можно скорее.,11494,1,Агата,3,5,5
270,11413,Роман,1052-08-06 00:00:00,да,1052-08-10,1.0,7500,Недалеко от города у меня пропала сумка с документами. Нужно вернуть её как можно скорее.,11413,1,Соня,5,4,4
271,11043,Бьянка,1052-08-07 00:00:00,да,1052-09-28,1.0,9000,В лесу между городом и деревней заметили зверей. Нужно прогнать их.,11043,0,Агата,4,3,4
272,11371,Роман,1052-08-07 00:00:00,да,1052-08-22,5.0,10000,"В лесу около деревни заметили зверей. Нужно прогнать их. Осмотрите все возможные укрытия, чтобы найти зверей.",11371,4,Альфред,2,4,5
273,11298,Чарли,1052-08-09 00:00:00,да,1052-08-30,3.0,5500,В деревне монстры похитили путников. Нужно освободить их.,11298,2,Бенедикт,4,4,5
274,11222,Чарли,1052-08-14 00:00:00,да,1052-10-11,9.0,25500,В деревне у меня пропал рюкзак. Нужно вернуть его как можно скорее.,11222,1,Мартин,5,4,4
275,11097,Роман,1052-08-18 00:00:00,да,1052-09-25,8.0,26500,В лесу недалеко от города заметили разбойников. Нужно проучить их.,11097,0,Бенедикт,4,4,4
276,11374,Надя,1052-08-20 00:00:00,да,1052-09-09,4.0,12500,"В лесу недалеко от города заметили монстров. Нужно победить их. Будьте осторожны, так как монстры могут быть опасными.",11374,3,Леопольд,4,5,5
277,11272,Надя,1052-08-24 00:00:00,да,1052-10-05,7.0,5500,В пещере завёлся дракон. Нужно его убить.,11272,0,Синеглазый,3,3,4
278,11454,Олег,1052-08-25 00:00:00,да,1052-09-14,6.0,5500,"По дороге из деревни у меня пропала сумка с документами. Нужно найти её как можно скорее. Проверьте все места, где она могла быть оставлена.",11454,1,Юлия,3,3,5
279,11372,Аделина,1052-08-27 00:00:00,да,1052-10-25,9.0,27500,В лесу недалеко от города заметили монстров. Нужно уничтожить их.,11372,0,Бенедикт,4,4,5
280,11171,Иван,1052-08-30 00:00:00,да,1052-09-11,8.0,12500,В лесу между городом и деревней были замечены разбойники. Нужно проучить их.,11171,0,Бендер,5,4,4
281,11050,Чарли,1052-09-01 00:00:00,да,1052-09-16,7.0,8500,"В лесу по дороге от пещеры заметили зверей. Нужно убить их. Осмотрите все возможные укрытия, чтобы найти зверей.",11050,4,Пастушок,4,5,5
282,11398,Анна,1052-09-03 00:00:00,да,1052-10-22,10.0,12000,"В лесу между городом и деревней заметили разбойников. Нужно прогнать их. Осмотрите все возможные укрытия, чтобы найти разбойников.",11398,4,Юлия,5,4,4
283,11327,Роман,1052-09-04 00:00:00,да,1052-09-07,1.0,14500,"По дороге из деревни у меня потерялась драгоценность. Нужно найти её как можно скорее. Проверьте все места, где она могла быть оставлена.",11327,1,Юлия,4,2,5
284,11415,Максимилиан,1052-09-04 00:00:00,да,1052-10-11,6.0,11000,По дороге из деревни у меня потерялась драгоценность. Нужно найти её как можно скорее.,11415,1,Бенедикт,4,4,2
285,11460,Анна,1052-09-05 00:00:00,да,1052-09-11,3.0,27000,"В городе монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.",11460,2,Пастушок,5,3,4
286,11194,Татьяна,1052-09-07 00:00:00,да,1052-10-29,8.0,8500,В лесу по дороге от пещеры заметили разбойников. Нужно убить их.,11194,0,Бенедикт,4,4,5
287,11155,Бабушка Синь,1052-09-12 00:00:00,да,1052-09-17,4.0,13500,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,11155,0,Бендер,4,4,5
288,11052,Анна,1052-09-12 00:00:00,да,1052-10-10,7.0,6000,"В деревне у меня потерялась драгоценность. Нужно найти её как можно скорее. Проверьте все места, где она могла быть оставлена.",11052,1,Пастушок,4,3,3
289,11293,Татьяна,1052-09-17 00:00:00,да,1052-10-09,5.0,15000,Недалеко от города звери нападают на людей. Нужно убить их.,11293,0,Фредерик,4,3,3
290,11463,Влад,1052-09-18 00:00:00,да,1052-10-04,1.0,11500,В пещере появвилось огромное каменное чудовище. Нужно убить его.,11463,0,Альфред,3,3,3
291,11042,Егор,1052-09-20 00:00:00,да,1052-11-01,5.0,5000,"В деревне монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.",11042,2,Глюкоза,4,4,4
292,11170,Анна,1052-09-20 00:00:00,да,1052-09-27,6.0,12000,"В городе у меня пропала драгоценность. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.",11170,1,Леопольд,4,4,4
293,11085,Татьяна,1052-09-21 00:00:00,да,1052-10-04,4.0,17000,"По дороге из деревни монстры нападают на людей. Нужно победить их. Осмотрите все возможные укрытия, чтобы найти монстров.",11085,4,Синеглазый,5,4,3
294,11400,Леонтия,1052-09-24 00:00:00,да,1052-10-05,4.0,5000,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,11400,0,Юлия,3,3,5
295,11088,Анна,1052-09-30 00:00:00,да,1052-10-12,7.0,13500,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,11088,0,Глюкоза,4,3,4
